device=cuda dtype=fp32 size=256 threads=4 torch=1.10.0
gpu=NVIDIA Tegra X1
fused scan available: False
power source: /sys/bus/i2c/drivers/ina3221x/6-0040/iio:device0/in_power0_input

cache  active%   ms/frame      FPS    watts   mJ/frame
--------------------------------------------------------
on        5.1     114.27      8.8     5.55     634.62
on       14.8     256.54      3.9     5.71    1463.77
on       30.1     496.18      2.0     5.77    2861.46
on       50.0     808.93      1.2     5.78    4671.73
on       69.9    1118.15      0.9     5.81    6493.44
on      100.0    1572.58      0.6     5.93    9318.02
off       5.1    1564.05      0.6     6.20    9701.15
off      14.8    1564.08      0.6     6.25    9777.19
off      30.1    1564.16      0.6     6.29    9841.25
off      50.0    1564.19      0.6     6.33    9905.19
off      69.9    1564.15      0.6     6.37    9959.06
off     100.0    1564.19      0.6     6.41   10025.12
