length,model,gauge,sequence,absrel,rmse,delta1,temporal_delta,opw,tce,failed,catastrophic,n
256,sparse_k30,none,rgbd_dataset_freiburg3_sitting_rpy,0.2229201370480779,1.6313176905929352,0.7129650897391487,0.18471551533618005,0.029397298503226855,0.042306333111011306,0,0,3
256,sparse_k30,none,rgbd_dataset_freiburg3_sitting_xyz,0.1057174927198828,0.6140938254287935,0.8754416602275936,0.15719794105080998,0.0146719874708376,0.02792651314397334,0,0,4
256,sparse_k30,none,rgbd_dataset_freiburg3_walking_rpy,0.29243223872817303,1.7471639897311455,0.6509626757512703,0.2211709963729958,0.04796321074053546,0.06384094950559972,0,0,3
256,sparse_k30,none,rgbd_dataset_freiburg3_walking_xyz,0.21164098146690608,1.1864795238012429,0.7481141608240821,0.2787218729654948,0.044894487919165886,0.0600402904963951,0,0,3
256,sparse_k30,median,rgbd_dataset_freiburg3_sitting_rpy,0.27259721654890307,1.5956680107113834,0.6261907727895335,0.2127750521391825,0.03460153469360202,0.04704527449881968,0,0,3
256,sparse_k30,median,rgbd_dataset_freiburg3_sitting_xyz,0.09039770946449034,0.6004347353973294,0.90851847949347,0.15237130557789522,0.014045158777815417,0.027440628289660863,0,0,4
256,sparse_k30,median,rgbd_dataset_freiburg3_walking_rpy,0.30650894474257323,1.7517775545929413,0.6325828534253563,0.22543050728592218,0.049659335008628055,0.06543522798926282,0,0,3
256,sparse_k30,median,rgbd_dataset_freiburg3_walking_xyz,0.19945627493486512,1.168961819697884,0.7546933658235685,0.2762298234927109,0.04404144104973394,0.05924525161997384,0,0,3
256,sparse_k30,scaleshift,rgbd_dataset_freiburg3_sitting_rpy,0.21255730397250983,1.5863450326775803,0.6751070757084958,0.05697245442010219,0.011321912094839919,0.027003670092940135,0,0,3
256,sparse_k30,scaleshift,rgbd_dataset_freiburg3_sitting_xyz,0.09244667823414217,0.6156340859924497,0.9079782301274413,0.13822951223336014,0.013272264558082964,0.026840616653596935,0,0,4
256,sparse_k30,scaleshift,rgbd_dataset_freiburg3_walking_rpy,0.2687396092210835,1.8474771260281089,0.6250421559334806,0.08480345034131817,0.024422925529991615,0.04236653874612261,0,0,3
256,sparse_k30,scaleshift,rgbd_dataset_freiburg3_walking_xyz,0.20115608911273639,1.2765429097659113,0.6934915717950447,0.18822300231534672,0.03207496102542864,0.04826568429801732,0,0,3
256,sparse_k5,none,rgbd_dataset_freiburg3_sitting_rpy,0.2180089739838482,1.623495545425467,0.7196675938491149,0.18698491115196078,0.02941458220392825,0.042301937292789325,0,0,3
256,sparse_k5,none,rgbd_dataset_freiburg3_sitting_xyz,0.09705057719714456,0.5421993587875277,0.8914792442719929,0.14761275684132297,0.013790995661982011,0.02695100505807585,0,0,4
256,sparse_k5,none,rgbd_dataset_freiburg3_walking_rpy,0.291717996181375,1.7356579633293292,0.6525113848465667,0.22732077205882353,0.04897145235401725,0.06479625591165275,0,0,3
256,sparse_k5,none,rgbd_dataset_freiburg3_walking_xyz,0.21795043946100456,1.1945218423678392,0.7530567023989172,0.2694754008374183,0.04795930101795769,0.06306289063179092,0,0,3
256,sparse_k5,median,rgbd_dataset_freiburg3_sitting_rpy,0.2671801934460437,1.586692941497074,0.6335750684626499,0.21520019232058057,0.034652390211493515,0.047071970506483214,0,0,3
256,sparse_k5,median,rgbd_dataset_freiburg3_sitting_xyz,0.08192593543143273,0.527715451972769,0.9264137430316502,0.1427686616486194,0.013179439302867517,0.026493272643535907,0,0,4
256,sparse_k5,median,rgbd_dataset_freiburg3_walking_rpy,0.3051574230451119,1.7400229198413066,0.6350530374338103,0.2333003125159569,0.051111207585210774,0.06680804268437723,0,0,3
256,sparse_k5,median,rgbd_dataset_freiburg3_walking_xyz,0.20286443302242488,1.1738770658246198,0.7615316595058927,0.26517259186389397,0.046520992069471793,0.061715741396678514,0,0,3
256,sparse_k5,scaleshift,rgbd_dataset_freiburg3_sitting_rpy,0.20816380283032754,1.5716787155799326,0.6827125101205807,0.06088912377949634,0.011568187171668883,0.027293521431085682,0,0,3
256,sparse_k5,scaleshift,rgbd_dataset_freiburg3_sitting_xyz,0.0820946108354854,0.5354664437126865,0.9281705900865925,0.13818124135335286,0.012947929419659368,0.026325924344690665,0,0,4
256,sparse_k5,scaleshift,rgbd_dataset_freiburg3_walking_rpy,0.26712654096952937,1.83866736125101,0.6269932401204167,0.0889585357865477,0.025280799447898978,0.04315336707056366,0,0,3
256,sparse_k5,scaleshift,rgbd_dataset_freiburg3_walking_xyz,0.20356237640725974,1.2570440629389255,0.6940464193230915,0.18316729676489737,0.03408776881981688,0.050210442558166285,0,0,3
256,dense_carry,none,rgbd_dataset_freiburg3_sitting_rpy,0.21670921138725174,1.6194842387873232,0.7255514845610535,0.16500992868460862,0.027031730768513233,0.04005375745751772,0,0,3
256,dense_carry,none,rgbd_dataset_freiburg3_sitting_xyz,0.09649573558041594,0.523534495585441,0.8933972850136973,0.07289631039488549,0.01050052176132888,0.024326201604198676,0,0,4
256,dense_carry,none,rgbd_dataset_freiburg3_walking_rpy,0.2932479464351779,1.7154995338389758,0.6548270519894637,0.21459415410858354,0.04631583292604278,0.06227665690833413,0,0,3
256,dense_carry,none,rgbd_dataset_freiburg3_walking_xyz,0.23013551484631328,1.2363489932501082,0.7518838412207174,0.1844340305702359,0.03787472088965818,0.05317356124620863,0,0,3
256,dense_carry,median,rgbd_dataset_freiburg3_sitting_rpy,0.26152036262890505,1.5808042159242535,0.6378270849568682,0.190016892377068,0.03171353234943351,0.04428923639358197,0,0,3
256,dense_carry,median,rgbd_dataset_freiburg3_sitting_xyz,0.08050075399729137,0.5071792020542906,0.9306075647912129,0.07043403550690296,0.01001694196182482,0.023977657312471548,0,0,4
256,dense_carry,median,rgbd_dataset_freiburg3_walking_rpy,0.30554654893304867,1.7215662834534946,0.6310610955844075,0.21907334670521855,0.04822868034137552,0.06406407797435681,0,0,3
256,dense_carry,median,rgbd_dataset_freiburg3_walking_xyz,0.2109548759666338,1.2073010473220889,0.7600947608635126,0.1806531070883757,0.036480741867542396,0.051902733939002854,0,0,3
256,dense_carry,scaleshift,rgbd_dataset_freiburg3_sitting_rpy,0.20826039410703198,1.570694852352288,0.6850325493323555,0.0513879460057402,0.010019578029564732,0.026110034600551665,0,0,3
256,dense_carry,scaleshift,rgbd_dataset_freiburg3_sitting_xyz,0.0802062094641556,0.5131957456375742,0.9329836167479291,0.06879031424428902,0.009917731006709575,0.023915403814761864,0,0,4
256,dense_carry,scaleshift,rgbd_dataset_freiburg3_walking_rpy,0.26782123562334464,1.8284818010792996,0.6239807924832458,0.08420655244316151,0.023847865088573394,0.041821713081533936,0,0,3
256,dense_carry,scaleshift,rgbd_dataset_freiburg3_walking_xyz,0.20950290044693334,1.2668014307703455,0.686982725556386,0.12715243171243107,0.026988582100058063,0.04329607562696264,0,0,3
256,dense_reset,none,rgbd_dataset_freiburg3_sitting_rpy,0.22316162041307833,1.621777590009867,0.7339742356124971,0.20544101989347172,0.036709070768838135,0.049441702204897214,0,0,3
256,dense_reset,none,rgbd_dataset_freiburg3_sitting_xyz,0.09578398576355672,0.5045972378391109,0.893591499218554,0.06728386224484911,0.012008077617769859,0.025944193098424873,0,0,4
256,dense_reset,none,rgbd_dataset_freiburg3_walking_rpy,0.296337782870156,1.722205934410822,0.6652304282845236,0.24562320584565206,0.05689666928475354,0.07267818123742437,0,0,3
256,dense_reset,none,rgbd_dataset_freiburg3_walking_xyz,0.2330897874612143,1.2179369206308643,0.7498671052413988,0.2183583826800577,0.04867421304627829,0.06399322268737673,0,0,3
256,dense_reset,median,rgbd_dataset_freiburg3_sitting_rpy,0.25671353000747843,1.586202181104712,0.6364526587208469,0.22986286138397416,0.04209792683992286,0.05447997181624869,0,0,3
256,dense_reset,median,rgbd_dataset_freiburg3_sitting_xyz,0.08029801066171845,0.4861857683228283,0.9300889547705935,0.06499730839448817,0.011481910914816899,0.02553698434565978,0,0,4
256,dense_reset,median,rgbd_dataset_freiburg3_walking_rpy,0.3121349504744628,1.7293207840810416,0.6536886222233347,0.2510336034438189,0.05885293635737469,0.07456703958292832,0,0,3
256,dense_reset,median,rgbd_dataset_freiburg3_walking_xyz,0.214138494627437,1.1918004871879577,0.7593320337813035,0.21351180731081496,0.046764221292169825,0.062199018383514014,0,0,3
256,dense_reset,scaleshift,rgbd_dataset_freiburg3_sitting_rpy,0.22467237875065027,1.6229984206048105,0.6623196005210763,0.04492334306629655,0.010797681649909496,0.026954203459871477,0,0,3
256,dense_reset,scaleshift,rgbd_dataset_freiburg3_sitting_xyz,0.0790120974199011,0.4879372799842818,0.9333916328685071,0.06435497227837057,0.011385941345346819,0.025464982032450283,0,0,4
256,dense_reset,scaleshift,rgbd_dataset_freiburg3_walking_rpy,0.27764126272170564,1.8770733582970875,0.6258437499108028,0.07586709440144059,0.022562363140922803,0.04115381019653168,0,0,3
256,dense_reset,scaleshift,rgbd_dataset_freiburg3_walking_xyz,0.2154435858599116,1.2736701082524489,0.6844999127354644,0.1451063118728937,0.03385977331079345,0.050203641614141925,0,0,3
256,output_hold,none,rgbd_dataset_freiburg3_sitting_rpy,0.22879738187183804,1.6303722290214282,0.7249867047748172,0.1926716075224035,0.036053688444696405,0.048865647313284515,0,0,3
256,output_hold,none,rgbd_dataset_freiburg3_sitting_xyz,0.10444611638862303,0.5544067935228093,0.8787223966339545,0.047819937911688114,0.014684055927902192,0.02786401444983534,0,0,4
256,output_hold,none,rgbd_dataset_freiburg3_walking_rpy,0.2984800302183392,1.7280031217888028,0.662398405847028,0.2257569855334712,0.05421536724988019,0.07015263591704494,0,0,3
256,output_hold,none,rgbd_dataset_freiburg3_walking_xyz,0.2340267785013381,1.2249049188756937,0.7486639366196971,0.18855258717256435,0.04619219624580352,0.06140389831675142,0,0,3
256,output_hold,median,rgbd_dataset_freiburg3_sitting_rpy,0.26189088727676957,1.5967664117839762,0.6284279849901564,0.2156426174188751,0.041057764671416884,0.05354132246360589,0,0,3
