length,model,gauge,aggregation,absrel,rmse,delta1,tce,clips,failed,catastrophic
256,sparse_k30,none,source_pixel_pooled,0.20139658603127816,1.3372179131455308,0.7552556468276294,0.046783864905314304,13,0,0
256,sparse_k30,none,equal_sequence,0.20817771249075995,1.2947637573885293,0.7468708966355238,0.048528521564244864,13,0,0
256,sparse_k30,median,source_pixel_pooled,0.20936674513206244,1.3230969966048227,0.7415998128594107,0.04797644311170762,13,0,0
256,sparse_k30,median,equal_sequence,0.21724003642270795,1.2792105300998844,0.7304963678829821,0.0497915955994293,13,0,0
256,sparse_k30,scaleshift,source_pixel_pooled,0.18691338760673537,1.374211760724238,0.7381815364034355,0.03515906976321575,13,0,0
256,sparse_k30,scaleshift,equal_sequence,0.19372492013511797,1.3314997886160125,0.7254047583911156,0.03611912744766925,13,0,0
256,sparse_k5,none,source_pixel_pooled,0.19875613830663164,1.323303201951853,0.763193744180071,0.0473557331701063,13,0,0
256,sparse_k5,none,equal_sequence,0.20618199670584308,1.2739686774775407,0.7541787313416479,0.04927802222357721,13,0,0
256,sparse_k5,median,source_pixel_pooled,0.2058887258420726,1.3081607734330898,0.7508973511111261,0.048545600250342345,13,0,0
256,sparse_k5,median,equal_sequence,0.2142819962362533,1.2570770947839425,0.7391433771085008,0.050522256807768715,13,0,0
256,sparse_k5,scaleshift,source_pixel_pooled,0.18282756498342653,1.3530560755816525,0.7467599925901958,0.03567287054142227,13,0,0
256,sparse_k5,scaleshift,equal_sequence,0.1902368327606505,1.3007141458706386,0.7329806899126703,0.036745813851126574,13,0,0
256,dense_carry,none,source_pixel_pooled,0.2012598986311688,1.3217572945463287,0.7654923991559244,0.043291176234807625,13,0,0
256,dense_carry,none,equal_sequence,0.2091471020622897,1.273716815365462,0.756414915696233,0.04495754430406479,13,0,0
256,dense_carry,median,source_pixel_pooled,0.20593002946867653,1.3046275299997288,0.751927630172307,0.04434986273948214,13,0,0
256,dense_carry,median,equal_sequence,0.2146306353814697,1.254212687188532,0.7398976265490003,0.046058426404853296,13,0,0
256,dense_carry,scaleshift,source_pixel_pooled,0.18371614445691703,1.3487732999359758,0.7465447444812098,0.032848534646802936,13,0,0
256,dense_carry,scaleshift,equal_sequence,0.1914476849103664,1.2947934574598767,0.7322449210299791,0.033785806780952526,13,0,0
256,dense_reset,none,source_pixel_pooled,0.203963198965336,1.3186021864493467,0.7696352487673888,0.05082684353334869,13,0,0
256,dense_reset,none,equal_sequence,0.21209329412700134,1.266629420722666,0.7606658170892433,0.0530143248070308,13,0,0
256,dense_reset,median,source_pixel_pooled,0.20698615155217157,1.3031575399594437,0.7567179268767841,0.05197154484368202,13,0,0
256,dense_reset,median,equal_sequence,0.21582124644277417,1.248377305174135,0.7448905673740196,0.0541957535320877,13,0,0
256,dense_reset,scaleshift,source_pixel_pooled,0.19091409667679993,1.3778480371457067,0.7411512330019399,0.03484863058595653,13,0,0
256,dense_reset,scaleshift,equal_sequence,0.19919233118804217,1.3154197917846573,0.7265137240089626,0.03594415932574884,13,0,0
256,output_hold,none,source_pixel_pooled,0.208674834312943,1.3304069413312167,0.7620019465387954,0.0501269647175342,13,0,0
256,output_hold,none,equal_sequence,0.21643757674503458,1.2844217658021835,0.7536928609688742,0.052071548999229056,13,0,0
256,output_hold,median,source_pixel_pooled,0.21133949282994255,1.3147428385183657,0.7484451237967681,0.0511274030939975,13,0,0
256,output_hold,median,equal_sequence,0.219817740744239,1.2654484648696913,0.7372891371107451,0.0531146059791094,13,0,0
256,output_hold,scaleshift,source_pixel_pooled,0.1954702910981529,1.387709070900098,0.7332276355604396,0.03446811318484913,13,0,0
256,output_hold,scaleshift,equal_sequence,0.20319707259000663,1.3322902284306473,0.7195837520466689,0.03540303331358086,13,0,0
256,da2_256,median,source_pixel_pooled,1.183364058800815,136.41640539011075,0.5762079151799693,0.8575477130914352,13,13,8
256,da2_256,median,equal_sequence,1.1600044059495036,126.67624041371441,0.5692812943594608,0.8605780692193613,13,13,8
256,da2_256,scaleshift,source_pixel_pooled,0.2165887971840104,2.1518810872625145,0.6686370133874108,0.07087614408279512,13,2,0
256,da2_256,scaleshift,equal_sequence,0.22180689086111216,1.983635484119896,0.6605100052805093,0.0729344799911576,13,2,0
256,midas_256,median,source_pixel_pooled,43.40550539376888,15555.103672160212,0.6395572868975742,33.7243740107747,13,13,13
256,midas_256,median,equal_sequence,39.788033101046594,14266.53012071138,0.6329323558806025,32.402918802777755,13,13,13
256,midas_256,scaleshift,source_pixel_pooled,0.18487403527413201,1.3476376980619638,0.7369300495520762,0.06401123840120287,13,0,0
256,midas_256,scaleshift,equal_sequence,0.18830004810504514,1.3519193597595176,0.7306758443708787,0.06541638473000563,13,0,0
256,dpt_common,median,source_pixel_pooled,0.5850254813000252,200.57941071621886,0.6193619534955846,0.42989971727774867,13,5,2
256,dpt_common,median,equal_sequence,0.5743509955208178,145.3584899674,0.6124447089830394,0.4178297281587167,13,5,2
256,dpt_common,scaleshift,source_pixel_pooled,0.189374945072595,1.355876919740149,0.7201063513358649,0.06897575856661974,13,0,0
256,dpt_common,scaleshift,equal_sequence,0.19263019692980654,1.3613430085835623,0.7137565459769715,0.07003439332563335,13,0,0
8,sparse_k30,none,source_pixel_pooled,0.19818684115118046,1.2601125939539242,0.7847141775216196,0.046410011171045915,462,0,2
8,sparse_k30,none,equal_sequence,0.20826300150076432,1.2302469322613587,0.7727794621057507,0.04881295636415635,462,0,2
8,sparse_k30,median,source_pixel_pooled,0.16783676653655674,1.1303668434030612,0.8113520142696902,0.04833818764939747,462,0,2
8,sparse_k30,median,equal_sequence,0.17799022234607406,1.1055422300634126,0.7978144060898041,0.05092826879479269,462,0,2
8,sparse_k30,scaleshift,source_pixel_pooled,0.18403567460946244,10.193056853881009,0.8017206772198233,0.057764695921915195,462,7,2
8,sparse_k30,scaleshift,equal_sequence,0.1937916495147491,6.111234204739074,0.7873040132010566,0.06026764044801661,462,7,2
8,sparse_k5,none,source_pixel_pooled,0.19787037293942164,1.2546989748763764,0.7862344724157018,0.048084069803504464,462,0,2
8,sparse_k5,none,equal_sequence,0.2081536980714186,1.2228869245324103,0.7741426839627568,0.05067067566769351,462,0,2
8,sparse_k5,median,source_pixel_pooled,0.16723695379435008,1.120356139637907,0.8135182614887378,0.05007339926547605,462,0,1
8,sparse_k5,median,equal_sequence,0.17759377370576065,1.094720488586065,0.7997975155445713,0.05285111008104913,462,0,1
