model,gauge,source,clip_mean,clip_median,clip_p90,clip_p95,clip_max,failed,catastrophic,n
sparse_k30,none,tum,0.14773379274633494,0.1004655733704567,0.2851611375808716,0.44186168909072876,0.6615996360778809,0,0,89
sparse_k30,none,bonn,0.2760354778612379,0.17850710451602936,0.4496650695800781,0.6903290152549744,2.6559417247772217,0,16,398
sparse_k30,none,balanced,0.21188463530378643,0.13948633894324303,0.36741310358047485,0.5660953521728516,1.6587706804275513,0,16,487
sparse_k30,median,tum,0.1257378650682696,0.0813613086938858,0.2799113392829895,0.3603146970272064,0.5202646851539612,0,0,89
sparse_k30,median,bonn,0.12016599227547944,0.09859627857804298,0.19812677800655365,0.2794661819934845,0.6622103452682495,0,0,398
sparse_k30,median,balanced,0.12295192867187452,0.0899787936359644,0.23901905864477158,0.31989043951034546,0.5912375152111053,0,0,487
sparse_k30,scaleshift,tum,0.12542852102203317,0.08619509637355804,0.27172449231147766,0.34294256567955017,0.4290197193622589,0,0,89
sparse_k30,scaleshift,bonn,0.10382774778718981,0.08474382013082504,0.15869086980819702,0.19543710350990295,1.3358688354492188,1,1,398
sparse_k30,scaleshift,balanced,0.11462813440461149,0.08546945825219154,0.21520768105983734,0.26918983459472656,0.8824442774057388,1,1,487
dpt_common,median,tum,0.23983211179127853,0.18423233926296234,0.28059542179107666,0.36970630288124084,3.5298898220062256,3,1,89
dpt_common,median,bonn,1.6412434589150526,0.3650767207145691,3.9834322929382324,8.506560325622559,38.66780471801758,131,81,398
dpt_common,median,balanced,0.9405377853531656,0.2746545299887657,2.1320138573646545,4.4381333142519,21.098847270011902,134,82,487
dpt_common,scaleshift,tum,0.12455741684423403,0.11924934387207031,0.14987075328826904,0.19900402426719666,0.2796405255794525,0,0,89
dpt_common,scaleshift,bonn,0.0702248423304128,0.058507297188043594,0.11826101690530777,0.1348266750574112,0.2839224934577942,0,0,398
dpt_common,scaleshift,balanced,0.09739112958732342,0.08887832053005695,0.1340658850967884,0.16691534966230392,0.28178150951862335,0,0,487
dpt_official,median,tum,0.2695272636882375,0.1868601143360138,0.3199947774410248,0.49959900975227356,3.3776004314422607,14,2,89
dpt_official,median,bonn,1.0095834115066158,0.3606261610984802,1.6273224353790283,3.9314005374908447,48.44295120239258,90,57,398
dpt_official,median,balanced,0.6395553375974267,0.273743137717247,0.9736586064100266,2.215499773621559,25.91027581691742,104,59,487
dpt_official,scaleshift,tum,0.11213149557287773,0.10494723916053772,0.13109199702739716,0.17846181988716125,0.26431626081466675,0,0,89
dpt_official,scaleshift,bonn,0.06197986410768122,0.05174007639288902,0.1027417927980423,0.12322638928890228,0.2929987609386444,0,0,398
dpt_official,scaleshift,balanced,0.08705567984027948,0.07834365777671337,0.11691689491271973,0.15084410458803177,0.2786575108766556,0,0,487
da2_common,median,tum,0.6520983236894179,0.476329505443573,1.2833952903747559,2.3282182216644287,4.179817199707031,75,15,89
da2_common,median,bonn,0.4700103271658996,0.41926388442516327,0.7194284200668335,0.8170218467712402,7.447296142578125,38,9,398
da2_common,median,balanced,0.5610543254276588,0.44779669493436813,1.0014118552207947,1.5726200342178345,5.813556671142578,113,24,487
da2_common,scaleshift,tum,0.17641071749202322,0.11346340924501419,0.27499058842658997,0.3196464776992798,1.6035195589065552,7,3,89
da2_common,scaleshift,bonn,0.07117423779289027,0.06168733537197113,0.11845672130584717,0.13947540521621704,0.28265145421028137,0,0,398
da2_common,scaleshift,balanced,0.12379247764245674,0.08757537230849266,0.19672365486621857,0.2295609414577484,0.9430855065584183,7,3,487
da2_official,median,tum,0.5224031585823284,0.3425961136817932,0.9981229901313782,1.6199363470077515,3.100928544998169,84,9,89
da2_official,median,bonn,1.1219528500884584,0.4749448597431183,0.6656957268714905,0.732723593711853,116.93777465820312,41,17,398
