scope,model,gauge,sequence,absrel,rmse,delta1,tce,failed,catastrophic,n
L8_existing_487,da2_official,scaleshift,rgbd_bonn_static_close_far,0.04500607009494425,0.19104792311381427,0.9896370695698968,0.019456857170965652,0,0,217
L8_existing_487,da2_official,scaleshift,rgbd_dataset_freiburg3_walking_static,0.3549021005889286,25.7688400361225,0.8806499732407691,0.17023563213315646,18,7,89
L8_existing_487,zoe_common,none,rgbd_bonn_crowd2,0.42048651992122293,1.1462497188569556,0.12414983511164325,0.022378319512481887,0,0,111
L8_existing_487,zoe_common,none,rgbd_bonn_person_tracking2,0.3192943158782452,1.1596155102661563,0.28272667206185037,0.01517701275312614,0,0,70
L8_existing_487,zoe_common,none,rgbd_bonn_static_close_far,0.4705243646136853,1.779429692938274,0.16026877593510483,0.013322213892424542,0,19,217
L8_existing_487,zoe_common,none,rgbd_dataset_freiburg3_walking_static,0.37977440844680277,2.1298252773890556,0.21301675994162583,0.016360999448986748,0,0,89
L8_existing_487,zoe_common,median,rgbd_bonn_crowd2,0.40168349875838616,0.8370818747917617,0.6441686545410416,0.03035971110788826,0,5,111
L8_existing_487,zoe_common,median,rgbd_bonn_person_tracking2,0.17176585877759734,0.5970646153300994,0.7564092909170379,0.01927682021426727,0,0,70
L8_existing_487,zoe_common,median,rgbd_bonn_static_close_far,0.2361314224985758,0.8897965074473362,0.5096786404707826,0.01704400880879347,0,0,217
L8_existing_487,zoe_common,median,rgbd_dataset_freiburg3_walking_static,0.2618412598984269,1.6324813947962467,0.6119654900018773,0.0174126128454063,0,0,89
L8_existing_487,zoe_common,scaleshift,rgbd_bonn_crowd2,0.6731838508912644,36.166744782418576,0.5228121034274897,0.38593216425245414,16,11,111
L8_existing_487,zoe_common,scaleshift,rgbd_bonn_person_tracking2,0.16317644171946225,0.5929968075216111,0.739837284581894,0.017397362596971364,0,0,70
L8_existing_487,zoe_common,scaleshift,rgbd_bonn_static_close_far,0.229174853458731,7.965880123018719,0.6206386342286481,0.07582591508021382,13,0,217
L8_existing_487,zoe_common,scaleshift,rgbd_dataset_freiburg3_walking_static,0.2310836739024166,1.773135255052429,0.6206651562463791,0.028605024247783373,1,0,89
L8_existing_487,zoe_official,none,rgbd_bonn_crowd2,0.11281266434870785,0.3109151848948128,0.9197479932530768,0.02608892795210695,0,0,111
L8_existing_487,zoe_official,none,rgbd_bonn_person_tracking2,0.11560280573175288,0.35691357700087684,0.8805222673537128,0.022275676448117513,0,0,70
L8_existing_487,zoe_official,none,rgbd_bonn_static_close_far,0.18530518264240062,0.4882727321227147,0.7603974986249589,0.020622643135026406,0,16,217
L8_existing_487,zoe_official,none,rgbd_dataset_freiburg3_walking_static,0.1277776216250202,1.2690161121019154,0.834165775340354,0.03292312749710445,0,0,89
L8_existing_487,zoe_official,median,rgbd_bonn_crowd2,0.0681028786313032,0.2064632401806687,0.9542401099929914,0.024612421174817017,0,0,111
