model,sequence,event,unique_frames,timed_frames_with_repeats,mean_ms,p95_ms
output_hold,rgbd_bonn_crowd2,dense_fallback,89,445,7.507680734917731,7.58693739771843
output_hold,rgbd_bonn_person_tracking2,keyframe,9,45,7.562852243427187,8.102276595309377
output_hold,rgbd_bonn_person_tracking2,sparse,191,955,7.488992060924739,7.652431706083007
output_hold,rgbd_bonn_person_tracking2,dense_fallback,56,280,7.508112872164929,7.628587511135265
output_hold,rgbd_bonn_static_close_far,keyframe,9,45,7.654111909990509,8.103006996680051
output_hold,rgbd_bonn_static_close_far,sparse,238,1190,6.398219149779849,7.703011491685174
output_hold,rgbd_bonn_static_close_far,dense_fallback,9,45,7.653764776963119,7.706222403794527
da2_256,rgbd_dataset_freiburg3_walking_static,single_frame,256,1280,9.672651454343395,9.78215226350585
da2_256,rgbd_bonn_crowd2,single_frame,256,1280,9.477928506180433,9.57789753592806
da2_256,rgbd_bonn_person_tracking2,single_frame,256,1280,9.49090906251513,9.620701613312121
da2_256,rgbd_bonn_static_close_far,single_frame,256,1280,9.627539244252148,9.705731090798508
sparse_k5,rgbd_dataset_freiburg3_walking_static,keyframe,52,260,7.818968523777305,7.873962205485441
sparse_k5,rgbd_dataset_freiburg3_walking_static,sparse,184,920,7.62542172536917,8.197582475258969
sparse_k5,rgbd_dataset_freiburg3_walking_static,dense_fallback,20,100,7.860261281311978,7.922987533675041
sparse_k5,rgbd_bonn_crowd2,keyframe,52,260,7.547510304273321,7.66285459685605
sparse_k5,rgbd_bonn_crowd2,sparse,115,575,7.874505954399786,7.992361090146005
sparse_k5,rgbd_bonn_crowd2,dense_fallback,89,445,7.581835472236879,7.678988808766007
sparse_k5,rgbd_bonn_person_tracking2,keyframe,52,260,7.562329092336138,7.70733524550451
sparse_k5,rgbd_bonn_person_tracking2,sparse,138,690,7.837914368449845,8.038624694745522
sparse_k5,rgbd_bonn_person_tracking2,dense_fallback,66,330,7.588114654539492,7.726024866860826
sparse_k5,rgbd_bonn_static_close_far,keyframe,52,260,7.65024060439408,7.765974893118255
sparse_k5,rgbd_bonn_static_close_far,sparse,194,970,7.249773980013921,8.084880154638086
sparse_k5,rgbd_bonn_static_close_far,dense_fallback,10,50,7.7004240395035595,7.801099887001328
midas_192,rgbd_dataset_freiburg3_walking_static,single_frame,256,1280,9.957441326241678,10.159356337680947
midas_192,rgbd_bonn_crowd2,single_frame,256,1280,9.82464097785396,9.997608355479315
midas_192,rgbd_bonn_person_tracking2,single_frame,256,1280,9.740541601536279,9.955072462616954
midas_192,rgbd_bonn_static_close_far,single_frame,256,1280,9.829398584383853,10.071745251480024
dense_reset,rgbd_dataset_freiburg3_walking_static,dense,256,1280,7.645914594718306,7.699449454958085
dense_reset,rgbd_bonn_crowd2,dense,256,1280,7.335861721526271,7.4698885044199415
dense_reset,rgbd_bonn_person_tracking2,dense,256,1280,7.380394043730121,7.519759651040658
dense_reset,rgbd_bonn_static_close_far,dense,256,1280,7.463314065103077,7.599499504431151
midas_384,rgbd_dataset_freiburg3_walking_static,single_frame,256,1280,11.643124961415197,12.038358869904187
midas_384,rgbd_bonn_crowd2,single_frame,256,1280,11.424256978853009,11.733785504475236
midas_384,rgbd_bonn_person_tracking2,single_frame,256,1280,11.482585257590472,11.901646001206245
midas_384,rgbd_bonn_static_close_far,single_frame,256,1280,11.767490613920017,11.946933157742023
sparse_k10,rgbd_dataset_freiburg3_walking_static,keyframe,26,130,7.837008200182866,7.921015701140277
sparse_k10,rgbd_dataset_freiburg3_walking_static,sparse,214,1070,7.540875229555852,8.196154719917104
sparse_k10,rgbd_dataset_freiburg3_walking_static,dense_fallback,16,80,7.871485575014958,7.942108970019035
sparse_k10,rgbd_bonn_crowd2,keyframe,26,130,7.572077484487986,7.617072892026044
sparse_k10,rgbd_bonn_crowd2,sparse,140,700,7.839352264127228,7.986301663913764
sparse_k10,rgbd_bonn_crowd2,dense_fallback,90,450,7.567059583767938,7.659362886624876
sparse_k10,rgbd_bonn_person_tracking2,keyframe,26,130,7.5934914621309595,7.705746393185109
sparse_k10,rgbd_bonn_person_tracking2,sparse,167,835,7.883735434856255,8.039514187839814
sparse_k10,rgbd_bonn_person_tracking2,dense_fallback,63,315,7.607385892853407,7.711555194691755
sparse_k10,rgbd_bonn_static_close_far,keyframe,26,130,7.728588506310748,7.781225295912009
sparse_k10,rgbd_bonn_static_close_far,sparse,222,1110,7.123505995322548,8.072024105058517
sparse_k10,rgbd_bonn_static_close_far,dense_fallback,8,40,7.734760376479244,7.780629314947873
da2_196,rgbd_dataset_freiburg3_walking_static,single_frame,256,1280,9.3604969213402,9.413715996197425
da2_196,rgbd_bonn_crowd2,single_frame,256,1280,9.100742429313868,9.193335846066475
da2_196,rgbd_bonn_person_tracking2,single_frame,256,1280,9.10643263628117,9.237776698137168
da2_196,rgbd_bonn_static_close_far,single_frame,256,1280,9.241934733358903,9.316118081915192
dense_carry,rgbd_dataset_freiburg3_walking_static,dense,256,1280,7.640073510719958,7.701535166415852
dense_carry,rgbd_bonn_crowd2,dense,256,1280,7.359540280208421,7.462817226769403
dense_carry,rgbd_bonn_person_tracking2,dense,256,1280,7.328343863878217,7.509626299724914
dense_carry,rgbd_bonn_static_close_far,dense,256,1280,7.517839239881141,7.5958783039823174
