model,source,sequence,clip_id,mean_ms,p50_ms,p95_ms,max_ms,repeat_min_ms,repeat_max_ms,peak_allocated_mib,state_mib,keyframes,dense_fallbacks,gmc_calls,gmc_fallbacks,frames,repeats
da2_350,tum,rgbd_dataset_freiburg3_walking_static,tum:0,13.02077582884067,13.058096985332668,13.217891960812267,13.924355997005478,12.831994123871482,13.095853937215907,151.32373046875,0.0,0,0,0,0,256,5
da2_350,bonn,rgbd_bonn_crowd2,bonn:0,12.826710127183105,12.820407006074674,12.966542052163277,18.940604000817984,12.772177518854733,12.86313932041594,151.32373046875,0.0,0,0,0,0,256,5
da2_350,bonn,rgbd_bonn_person_tracking2,bonn:3,12.819509353084868,12.8216619923478,12.95634153939318,13.485595991369337,12.761170679937095,12.858210835133832,151.32373046875,0.0,0,0,0,0,256,5
da2_350,bonn,rgbd_bonn_static_close_far,bonn:5,12.938821815737356,12.9381349979667,13.03842602937948,13.61309498315677,12.92975359342563,12.955075140894223,151.32373046875,0.0,0,0,0,0,256,5
sparse_k60,tum,rgbd_dataset_freiburg3_walking_static,tum:0,8.099631987852263,8.682919986313209,8.841490358463489,9.254123986465856,8.061194413699013,8.129008491778222,63.67822265625,13.5009765625,5,13,0,0,256,5
sparse_k60,bonn,rgbd_bonn_crowd2,bonn:0,8.438183722341819,8.500001509673893,8.660880709066987,14.543868019245565,8.372396250479142,8.464677500910511,63.67822265625,13.5009765625,5,87,0,0,256,5
sparse_k60,bonn,rgbd_bonn_person_tracking2,bonn:3,8.461217226954432,8.53947299765423,8.706227550283074,9.104591008508578,8.383865789824085,8.505506668257112,63.67822265625,13.5009765625,5,52,0,0,256,5
sparse_k60,bonn,rgbd_bonn_static_close_far,bonn:5,7.631672483512375,6.938756501767784,8.765315063646995,9.069890977116302,7.616298794346221,7.653502474113338,63.67822265625,13.5009765625,5,9,0,0,256,5
midas_256,tum,rgbd_dataset_freiburg3_walking_static,tum:0,9.530348985231285,9.581223494024016,9.679088361735921,10.822898999322206,9.376175253692054,9.60120181559887,156.75244140625,0.0,0,0,0,0,256,5
midas_256,bonn,rgbd_bonn_crowd2,bonn:0,9.308068212612852,9.315285496995784,9.452454787970055,14.269570994656533,9.244029746469096,9.358566502896792,156.75244140625,0.0,0,0,0,0,256,5
