model,gauge,source,clip_id,sequence,first_rgb,absrel,failed,catastrophic,neg_frac,top5_within_source
dpt_official,median,bonn,bonn:273,rgbd_bonn_static_close_far,/home/hyunsu/dataset_ssd/bonn/rgbd_bonn_dataset/rgbd_bonn_static_close_far/rgb/1548340574.72790.png,0.5791354179382324,True,False,6.585562005057e-06,False
dpt_official,median,bonn,bonn:274,rgbd_bonn_static_close_far,/home/hyunsu/dataset_ssd/bonn/rgbd_bonn_dataset/rgbd_bonn_static_close_far/rgb/1548340574.99546.png,1.1677976846694946,True,True,3.53059804183431e-05,False
dpt_official,median,bonn,bonn:275,rgbd_bonn_static_close_far,/home/hyunsu/dataset_ssd/bonn/rgbd_bonn_dataset/rgbd_bonn_static_close_far/rgb/1548340575.26327.png,1.164034366607666,True,True,3.2895171898417175e-05,False
dpt_official,median,bonn,bonn:276,rgbd_bonn_static_close_far,/home/hyunsu/dataset_ssd/bonn/rgbd_bonn_dataset/rgbd_bonn_static_close_far/rgb/1548340575.53165.png,1.4531182050704956,True,True,4.63352189399302e-05,False
dpt_official,median,bonn,bonn:277,rgbd_bonn_static_close_far,/home/hyunsu/dataset_ssd/bonn/rgbd_bonn_dataset/rgbd_bonn_static_close_far/rgb/1548340575.79943.png,2.938749074935913,True,True,0.00011251671094214544,False
dpt_official,median,bonn,bonn:278,rgbd_bonn_static_close_far,/home/hyunsu/dataset_ssd/bonn/rgbd_bonn_dataset/rgbd_bonn_static_close_far/rgb/1548340576.06769.png,2.0651485919952393,True,True,7.698009721934795e-05,False
dpt_official,median,bonn,bonn:279,rgbd_bonn_static_close_far,/home/hyunsu/dataset_ssd/bonn/rgbd_bonn_dataset/rgbd_bonn_static_close_far/rgb/1548340576.33617.png,1.0258665084838867,True,True,2.8347452825983055e-05,False
dpt_official,median,bonn,bonn:281,rgbd_bonn_static_close_far,/home/hyunsu/dataset_ssd/bonn/rgbd_bonn_dataset/rgbd_bonn_static_close_far/rgb/1548340576.87207.png,0.6220453381538391,True,False,1.3095117537886836e-05,False
dpt_official,median,bonn,bonn:288,rgbd_bonn_static_close_far,/home/hyunsu/dataset_ssd/bonn/rgbd_bonn_dataset/rgbd_bonn_static_close_far/rgb/1548340578.74947.png,1.8978980779647827,True,True,9.759554086485878e-05,False
dpt_official,median,bonn,bonn:293,rgbd_bonn_static_close_far,/home/hyunsu/dataset_ssd/bonn/rgbd_bonn_dataset/rgbd_bonn_static_close_far/rgb/1548340580.08976.png,0.46894747018814087,True,False,8.35708124213852e-06,False
dpt_official,median,bonn,bonn:294,rgbd_bonn_static_close_far,/home/hyunsu/dataset_ssd/bonn/rgbd_bonn_dataset/rgbd_bonn_static_close_far/rgb/1548340580.35791.png,1.8959661722183228,True,True,0.00010645772999851033,False
dpt_official,median,bonn,bonn:318,rgbd_bonn_static_close_far,/home/hyunsu/dataset_ssd/bonn/rgbd_bonn_dataset/rgbd_bonn_static_close_far/rgb/1548340586.82622.png,1.6713346242904663,True,True,0.0001097083295462653,False
dpt_official,median,bonn,bonn:319,rgbd_bonn_static_close_far,/home/hyunsu/dataset_ssd/bonn/rgbd_bonn_dataset/rgbd_bonn_static_close_far/rgb/1548340587.09421.png,6.02906608581543,True,True,0.0004196154768578708,False
dpt_official,median,bonn,bonn:320,rgbd_bonn_static_close_far,/home/hyunsu/dataset_ssd/bonn/rgbd_bonn_dataset/rgbd_bonn_static_close_far/rgb/1548340587.36240.png,1.4509812593460083,True,True,9.711994789540768e-05,False
dpt_official,median,bonn,bonn:321,rgbd_bonn_static_close_far,/home/hyunsu/dataset_ssd/bonn/rgbd_bonn_dataset/rgbd_bonn_static_close_far/rgb/1548340587.63041.png,1.563586950302124,True,True,9.345461876364425e-05,False
dpt_official,median,bonn,bonn:322,rgbd_bonn_static_close_far,/home/hyunsu/dataset_ssd/bonn/rgbd_bonn_dataset/rgbd_bonn_static_close_far/rgb/1548340587.89852.png,5.21295166015625,True,True,0.0003466110792942345,False
dpt_official,median,bonn,bonn:323,rgbd_bonn_static_close_far,/home/hyunsu/dataset_ssd/bonn/rgbd_bonn_dataset/rgbd_bonn_static_close_far/rgb/1548340588.16668.png,7.805871486663818,True,True,0.0005312161520123482,False
dpt_official,median,bonn,bonn:324,rgbd_bonn_static_close_far,/home/hyunsu/dataset_ssd/bonn/rgbd_bonn_dataset/rgbd_bonn_static_close_far/rgb/1548340588.43482.png,16.352584838867188,True,True,0.0011775506427511573,True
dpt_official,median,bonn,bonn:325,rgbd_bonn_static_close_far,/home/hyunsu/dataset_ssd/bonn/rgbd_bonn_dataset/rgbd_bonn_static_close_far/rgb/1548340588.70293.png,6.243882656097412,True,True,0.0004603401757776737,False
