model,source,sequence,read_decode_preprocess,h2d,detector,gmc,embedding,backbone,decoder,network_and_output_resize,d2h,profile_total_ms,other_ms
da2_350,tum,rgbd_dataset_freiburg3_walking_static,7.2251669690786,0.17010610167744744,0.0,0.0,0.0,0.0,0.0,5.393052887825434,0.05601465102245129,12.971540545663629,0.12719993605969648
da2_350,bonn,rgbd_bonn_crowd2,7.069124032454965,0.17026578905188217,0.0,0.0,0.0,0.0,0.0,5.395929777137098,0.05440790994271083,12.820560179534368,0.13083267094771145
da2_350,bonn,rgbd_bonn_person_tracking2,7.113507999861213,0.1704780820546148,0.0,0.0,0.0,0.0,0.0,5.394728777218916,0.05462344131501595,12.86230317157333,0.12896487112357136
da2_350,bonn,rgbd_bonn_static_close_far,7.203328078276172,0.1702450747416151,0.0,0.0,0.0,0.0,0.0,5.396451861770402,0.05521034802313807,12.951656473092044,0.12642111028071668
sparse_k60,tum,rgbd_dataset_freiburg3_walking_static,5.9421224256084315,0.10702788267735741,0.10834186412012059,0.0,0.05304770002112491,1.4125754148608394,0.3583596403586853,0.0,0.07566319095531071,8.220297398679577,0.16315928007770708
sparse_k60,bonn,rgbd_bonn_crowd2,5.694225382740115,0.10684097730973008,0.1090742466658412,0.0,0.053093834935680206,1.98132136233653,0.35815313958664774,0.0,0.0766832499721204,8.548632785050359,0.1692405915036943
sparse_k60,bonn,rgbd_bonn_person_tracking2,5.739192662872483,0.1067941996097943,0.10896498486090422,0.0,0.05297161692396912,1.9788070512731792,0.3608244575161734,0.0,0.07670899253753305,8.596769785867764,0.1725058202737273
sparse_k60,bonn,rgbd_bonn_static_close_far,5.847404941164314,0.1077357936765111,0.10940943650439294,0.0,0.05319077672538697,1.005475886813656,0.35794860457372124,0.0,0.07601643267207692,7.7303832506459,0.1732013785158415
midas_256,tum,rgbd_dataset_freiburg3_walking_static,6.166756550896935,0.1079992109680461,0.0,0.0,0.0,0.0,0.0,3.2817543087730883,0.05311208985858684,9.6371873365797,0.027565176083044207
midas_256,bonn,rgbd_bonn_crowd2,5.928903329277091,0.10791652346142655,0.0,0.0,0.0,0.0,0.0,3.2724878276439995,0.053604711297339236,9.39045380891912,0.027541417239262955
midas_256,bonn,rgbd_bonn_person_tracking2,5.955667394573538,0.10822974923030415,0.0,0.0,0.0,0.0,0.0,3.274358825251511,0.05354682355118712,9.419444945592659,0.027642152986118163
midas_256,bonn,rgbd_bonn_static_close_far,5.99190232037472,0.1082953476725379,0.0,0.0,0.0,0.0,0.0,3.2716627266609066,0.05335119476512773,9.45283473447489,0.02762314500159846
gmc_k30,tum,rgbd_dataset_freiburg3_walking_static,5.436259339262506,0.11205656653601181,0.054789046771475114,0.7556000696240517,0.10633117119596136,1.877570586202637,0.34786683602305857,0.0,0.05065554887551116,8.917920535282065,0.17679137079085194
gmc_k30,bonn,rgbd_bonn_crowd2,5.183994137723857,0.11239253933581494,0.05449814511848672,0.8187658393126185,0.10668051459106209,1.8528563052768732,0.3444604614060154,0.0,0.05070977010745992,8.701410412868427,0.17705269999623852
gmc_k30,bonn,rgbd_bonn_person_tracking2,5.21037485486886,0.11222234252272756,0.0544602653462789,0.7634977146153687,0.10671206302959035,1.8689266481715094,0.3465681522811792,0.0,0.05059121417616552,8.690106873928016,0.17675361891633656
gmc_k30,bonn,rgbd_bonn_static_close_far,5.310440836296948,0.11196364903298672,0.054434184562524024,0.7457676206286123,0.1064984082859155,1.9169057532053557,0.35147989126471657,0.0,0.05033546756294527,8.822348028843408,0.1745222180034034
da2_518,tum,rgbd_dataset_freiburg3_walking_static,6.778234183002496,0.31932862941630447,0.0,0.0,0.0,0.0,0.0,7.436229030190589,0.05374500426569284,14.614688978554113,0.0271521316790313
da2_518,bonn,rgbd_bonn_crowd2,6.524051496512584,0.31941468796503614,0.0,0.0,0.0,0.0,0.0,7.436572425262966,0.053673820161748154,14.360845578380577,0.02713314847824222
da2_518,bonn,rgbd_bonn_person_tracking2,6.560251373343817,0.3200216376626486,0.0,0.0,0.0,0.0,0.0,7.440450120157038,0.054092408618089394,14.40191881181363,0.02710327203203633
da2_518,bonn,rgbd_bonn_static_close_far,6.649443567653179,0.32005187779304833,0.0,0.0,0.0,0.0,0.0,7.440033207330998,0.05401542057370534,14.49075623020235,0.027212156851419422
sparse_k30,tum,rgbd_dataset_freiburg3_walking_static,5.410492589817295,0.11165810951752064,0.10639046490723558,0.0,0.052987804224358115,1.4661985076145356,0.35610210932190967,0.0,0.05024663721542311,7.654166945371799,0.10009072275352082
sparse_k30,bonn,rgbd_bonn_crowd2,5.0754830540427065,0.11120935289454792,0.10572533585673227,0.0,0.052738398949259135,1.9414332062979156,0.35003994241833425,0.0,0.05101423073483602,7.789939515873812,0.10229599467947992
sparse_k30,bonn,rgbd_bonn_person_tracking2,5.196590638433918,0.11197679225460888,0.10698595303892944,0.0,0.05303742966589198,1.9625009373385183,0.3586787504445965,0.0,0.05056716884155321,7.943362979631274,0.10302530961325829
sparse_k30,bonn,rgbd_bonn_static_close_far,5.318801863609224,0.11245738642173819,0.10692303851556062,0.0,0.05301154942571884,1.0383234888422521,0.353127456492075,0.0,0.05076401544101827,7.132714446129285,0.09930564738169778
output_hold,tum,rgbd_dataset_freiburg3_walking_static,5.445572741678006,0.11257697349265072,0.1128048864984521,0.0,0.03678760538150527,1.195203601241701,0.23971637892827857,0.0,0.04988642524494935,7.310838413673082,0.1182898012075384
output_hold,bonn,rgbd_bonn_crowd2,5.203588527024294,0.11280427304427576,0.11708285751410585,0.0,0.052840050670965866,1.7300250621019586,0.3474153014622061,0.0,0.05077051480384398,7.759402578813024,0.14487599219137337
output_hold,bonn,rgbd_bonn_person_tracking2,5.201021163316,0.11182419279975875,0.11542846812062635,0.0,0.0521512567956961,1.6953240469774755,0.3391281874201013,0.0,0.049853493351292855,7.706483886522619,0.14175307774166868
output_hold,bonn,rgbd_bonn_static_close_far,5.299109940892777,0.11180391356901964,0.11086560641615506,0.0,0.02378863268859277,0.7676553316287027,0.15496364005684882,0.0,0.04893001562322752,6.61597915927814,0.09886207840281713
da2_256,tum,rgbd_dataset_freiburg3_walking_static,5.796061774390182,0.1050645402074224,0.0,0.0,0.0,0.0,0.0,3.802204665134923,0.0536607893764085,9.782915114101343,0.025923344992406783
da2_256,bonn,rgbd_bonn_crowd2,5.539287609281018,0.10487060592367925,0.0,0.0,0.0,0.0,0.0,3.8015653605043553,0.05338580888292199,9.524651878678014,0.02554249408603937
da2_256,bonn,rgbd_bonn_person_tracking2,5.579193116204806,0.10524423134938843,0.0,0.0,0.0,0.0,0.0,3.7928910671780613,0.053883188684267225,9.556846019677323,0.025634416260800208
da2_256,bonn,rgbd_bonn_static_close_far,5.693309613661768,0.10544206747908902,0.0,0.0,0.0,0.0,0.0,3.8013546711681556,0.05397150835051434,9.679706448650904,0.02562858799137757
sparse_k5,tum,rgbd_dataset_freiburg3_walking_static,5.432141378605593,0.11284419690582581,0.09448305456771777,0.0,0.05318461330716673,1.6381361991761878,0.3565229271771386,0.0,0.050593640139595664,7.840857996257,0.10295198637777503
sparse_k5,bonn,rgbd_bonn_crowd2,5.17448427774525,0.11285590278475865,0.09418896172519453,0.0,0.05287617977955961,1.9435985433347014,0.3536346483770103,0.0,0.05082512484477775,7.888114171578309,0.10565053298705607
sparse_k5,bonn,rgbd_bonn_person_tracking2,5.201878484513145,0.11306814417366695,0.09455328108742833,0.0,0.05299537690461875,1.9345295748962599,0.3541941215416955,0.0,0.05073885597539629,7.906856136742135,0.10489829764992464
