device=cuda dtype=fp32 size=256 threads=4 torch=1.10.0
gpu=NVIDIA Tegra X1
fused scan available: False

cache  active%   ms/frame      FPS    watts   mJ/frame
--------------------------------------------------------
on        5.1     139.14      7.2     0.00       0.00
on       14.8     279.41      3.6     0.00       0.00
on       30.1     539.74      1.9     0.00       0.00
on       50.0     842.16      1.2     0.00       0.00
on       69.9    1161.73      0.9     0.00       0.00
on      100.0    1663.05      0.6     0.00       0.00
off       5.1    1592.49      0.6     0.00       0.00
off      14.8    1590.07      0.6     0.00       0.00
off      30.1    1590.80      0.6     0.00       0.00
off      50.0    1588.39      0.6     0.00       0.00
off      69.9    1586.96      0.6     0.00       0.00
off     100.0    1586.92      0.6     0.00       0.00
